l1,l2,l3,Actual pose x,Actual pose y,Actual pose z,Actual pose roll,Actual pose pitch,Actual pose yaw,IMU roll,IMU pitch,IMU yaw,Pot 1 distance,Pot 2 distance,Pot 3 distance,Pot 4 distance,Pot 5 distance,Pot 6 distance,Estimated pose x,Estimated pose y,Estimated pose z,Estimated pose roll,Estimated pose pitch,Estimated pose yaw
-70.0,-23.333333333333336,-70.0,6.368668700800185,-11.030857766359588,94.4141035246984,0.8948849211485619,7.613951070937786,13.387412315740837,0.8168885667096717,7.588060977487683,13.110985315240557,112.54652445204829,143.88157756410084,114.86923873903436,168.8276637272894,121.58320577699385,135.10322520568417,8,-11,93,2,7,14
-70.0,-23.333333333333336,-54.44444444444444,8.964286175956772,-7.763299555172239,99.80402126850726,0.8021711196212248,10.203039712066575,8.967256745453929,0.8085324376623519,10.180498368047056,9.04724470497686,116.93043375328647,139.3014945029371,120.49037902837989,169.75976830444228,136.61322535237628,128.74058480832826,9,-9,98,2,10,10
-70.0,-23.333333333333336,-38.888888888888886,11.78210407317846,-4.081440574961874,104.94099295144514,0.5059781443588338,12.792520226724982,4.511253661327505,0.5230639750906056,12.902606492887271,4.691866742712249,121.37054959794128,137.54956676863247,130.5712939901307,168.35987194562958,151.42197534378755,128.79924955381625,13,-7,104,2,13,6
-70.0,-23.333333333333336,-23.333333333333336,14.810857443721375,0.0,109.78384130778885,0.0,15.366684160596787,0.0,0.0950078520648211,15.330996051049814,-0.020802936831428653,126.3626728851138,135.92619286623662,136.02055713005043,167.53741649621486,165.69706837960825,124.48728894446093,13,-1,109,2,15,0
-70.0,-23.333333333333336,-7.777777777777779,18.03751394650061,4.463127228224479,114.29286662441494,-0.7230734711530649,17.909163829758135,-4.586456270552277,-0.9548722074937666,17.919459605024173,-4.638404974192807,127.81450989271852,132.47471226302352,140.35105608500456,169.98677227256897,183.74940219217473,122.6607926839905,18,4,114,-1,18,-5
-70.0,-23.333333333333336,7.7777777777777715,21.44734822727196,9.286974204314305,118.43016731869035,-1.671406666911259,20.402746560907204,-9.268405040802174,-1.700073933596597,20.330718190183134,-9.488917703116675,131.64337112764719,130.09118194413207,146.8085881190437,172.90441483254315,198.6804609753421,119.89096659416147,21,11,119,-2,20,-10
-70.0,-23.333333333333336,23.33333333333333,25.024030172226077,14.447630556144034,122.15994912756297,-2.853723748050223,22.829198040778547,-14.066150797315778,-2.846157539006002,22.81443854964499,-14.022491487306423,131.26622113176913,127.64931070829061,152.3576935838428,175.05616988892257,213.31887125841308,117.44222212206277,26,17,121,-3,23,-15
-70.0,-23.333333333333336,38.888888888888886,28.749726448388287,19.918394764926106,125.44882040963623,-4.278830652681017,25.16911131837021,-18.999530193140973,-4.156472824595888,25.037222618836534,-19.02954144254488,132.4459234388459,126.19058389680241,154.882558604802,181.5090384437928,226.31921211632252,116.09313033000953,32,18,124,-5,25,-18
-70.0,-23.333333333333336,54.44444444444444,32.605214635044035,25.669949245265727,128.26607115987812,-5.954910415816048,27.40180466195817,-24.0872208369257,-5.81349683203152,27.494413696541315,-24.257688701951256,131.5922185795458,128.0793274247501,160.14702859367986,184.75080038894225,242.6625640336812,114.1539586240569,35,29,127,-5,27,-24
-70.0,-23.333333333333336,70.0,36.570009147253344,31.67055693815071,130.58393345386528,-7.888552347018603,29.505299429319606,-29.345796840772955,-7.837617187862725,29.50717457736061,-29.13863316659311,133.54375463760624,128.85134113637415,161.85688444805794,193.7825667037965,256.07960591530156,109.81935776186492,24,58,122,-11,25,-32
